anios_esc,ingocup,hrsocup,clase2
8,0,0,3
13,0,0,4
0,0,0,0
16,13000,90,1
0,0,0,2
17,18000,40,1
0,4167,49,1
12,0,0,4
11,5400,48,1
0,0,0,0
17,9000,0,1
9,0,30,1
7,17200,28,1
9,0,0,2
6,0,0,4
0,0,0,0
12,0,48,1
15,10750,72,1
12,6450,11,1
16,17200,24,1
12,6880,45,1
17,7740,0,1
12,0,0,2
12,6450,54,1
3,0,0,4
0,0,0,0
6,0,48,1
0,0,0,0
0,0,0,0
0,0,0,0
9,12000,45,1
6,0,0,4
9,9116,40,1
12,8600,60,1
17,0,40,1
0,0,0,0
9,0,60,1
9,0,48,1
12,6050,48,1
17,8000,30,1
12,0,0,3
9,7310,45,1
18,0,10,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9,0,42,1
9,0,42,1
12,12040,40,1
10,7740,48,1
9,4644,36,1
7,0,0,4
12,13760,51,1
12,8729,48,1
9,2150,20,1
6,0,25,1
8,8600,48,1
99,0,56,1
9,5590,40,1
17,14000,50,1
1,6000,7,1
9,7740,48,1
12,0,0,4
9,0,0,4
16,8600,40,1
0,0,0,0
7,0,50,1
0,2193,24,1
6,4300,24,1
6,6880,48,1
17,6450,48,1
0,0,0,4
9,0,0,4
7,0,0,4
0,0,0,0
9,3000,55,1
6,8600,48,1
0,7740,46,1
16,20000,45,1
1,1800,56,1
9,0,0,4
9,0,0,4
6,12040,48,1
12,0,48,1
12,0,0,4
9,0,42,1
0,0,0,4
6,0,0,3
13,0,0,4
0,0,0,0
0,0,0,0
6,0,0,4
13,7310,48,1
9,8600,45,1
13,6450,45,1
12,0,48,1
13,0,36,1
12,6235,40,1
5,0,0,4
0,9460,54,1
6,0,24,1
15,21500,4,1
9,4300,40,1
12,12900,36,1
16,8600,48,1
16,6450,27,1
9,12900,46,1
9,0,0,4
6,4386,45,1
5,28333,66,1
0,0,0,0
12,12900,60,1
12,0,48,1
9,0,0,4
9,2000,56,1
13,0,0,4
